local_id,label,candidate_id,status,error
QW1001,adon olam,Q203,mapped,
QW1010,as the hart panteth | thou art enthroned above,Q279,mapped,
QW1002,adon olam,Q203,mapped,
QW1032,"empor zu gott, mein lobgesang!",Q453,mapped,
QW1006,Sacred Music,Q9,mapped,
QW1007,Choral-Solo,Q27,mapped,
QW1008,Liturgical-Setting(s),Q42,mapped,
QW1015,Jewish Women's Congress,__create__,reused,
